 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00500 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.33183 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.33683 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.34183 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.34683 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.35182 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.35682 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.36182 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.36682 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.37181 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.37681 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.38181 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.38681 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.39180 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.39680 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.40180 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.40680 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.41179 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.41679 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.42179 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.42679 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.43178 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.43678 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.44178 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.44678 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.45177 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.45677 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.46177 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.46677 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.47176 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.47676 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.48176 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.48676 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.49175 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.49675 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.50175 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.50675 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.51174 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.51674 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.52174 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.52674 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.53173 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.53673 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.54173 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.54673 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.55172 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.55672 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.56172 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.56672 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.57171 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.57671 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.58171 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.58671 	 0.000e+00 	 0.000e+00 	 0.000e+00 
